Row,RX,TX
1,120,4296
2,2436,102
3,2374,102
4,120,102
5,90240,4296
6,407745,623022
7,470126,766787
8,168638,289294
9,263578,285926
10,221788,442352
11,116552,199988
12,131470,245732
13,116198,210152
14,353740,279326
15,192364,287918
16,113246,396718
17,113160,206108
18,297408,182646
19,132670,176374
20,114468,192230
21,107620,178230
22,370622,230810
23,127298,214542
24,190000,213738
25,146638,297168
26,484342,191676
27,119900,280446
28,198110,124870
29,135400,205494
30,478942,194446
31,111556,200204
32,148920,193024
33,92608,148148
34,553974,171820
35,109072,283802
36,110382,143238
37,84556,141914
38,601898,265810
39,108516,185124
40,106300,130670
41,116116,167644
42,647852,185864
43,129966,171820
44,107670,228470
45,120558,141954
46,720594,213678
47,139386,285048
48,111644,176880
49,107870,132190
50,776426,332232
51,131134,173540
52,106954,181720
53,134576,163938
54,801128,175074
55,115510,167066
56,170458,136638
57,75660,119514
58,858722,174728
59,159350,162014
60,99592,120190
61,74142,121926
62,906862,169240
63,102754,236104
64,103748,123778
65,68670,116416
66,953466,293422
67,110092,178154
68,104990,98986
69,93514,186556
70,998784,171820
71,106016,175540
72,155838,127778
73,85906,110768
74,1013814,166490
75,125504,164784
76,102264,116418
77,68850,112472
78,1106746,175934
79,113990,283310
80,108840,106088
81,121756,99364
82,1206158,200022
83,119192,155230
84,106046,119742
85,142400,92362
86,1116056,300354
87,109936,166074
88,134844,101054
89,95298,128174
90,1147634,190706
91,110016,175924
92,117514,93254
93,201756,102294
94,1166062,175398
95,106485,187356
96,107910,82146
97,190794,113744
98,1197892,170100
99,101178,315262
100,112612,92662
101,156610,75954
102,1213270,158764
103,107396,179716
104,173078,107876
105,182384,69234
106,1394528,169552
107,106250,176770
108,173612,99548
109,211330,70746
110,1293439,198588
111,103856,158608
112,126008,137606
113,234680,65710
114,1425914,171990
115,172754,180732
116,100468,81864
117,224096,64060
118,1348464,166674
119,182322,194496
120,104656,87300
121,188814,60272
122,1533572,155168
123,123462,265214
124,133208,61400
125,111742,55264
126,1564956,170530
127,109098,299974
128,106016,81660
129,178144,48312
130,1493510,150282
131,108832,283976
132,108602,70770
133,112696,47638
134,1453652,173970
135,109260,311234
136,106252,75144
137,296411,39506
138,1485044,164980
139,104894,301768
140,106528,76442
141,268158,39960
142,1688566,177794
143,107750,289292
144,133028,33916
145,131824,27810
146,1532764,173370
147,124611,283902
148,107604,77584
149,220848,32364
150,1560012,169512
151,146270,237270
152,104782,58416
153,334716,25128
154,1636110,177724
155,189242,187324
156,139800,51888
157,303114,23772
158,1598308,172952
159,184050,245644
160,109572,79740
161,164576,19182
162,1660698,176864
163,113072,183312
164,192476,111534
165,361474,12390
166,1839804,180088
167,394442,183802
168,223114,48976
169,179472,6598
170,1570004,264906
171,410690,181162
172,123820,25872
173,408162,7690
174,1465260,202818
175,1019416,193512
176,130802,68858
177,328500,3586
178,1357704,284242
179,921879,206704
180,105676,67290
181,259384,2796
182,744744,250338
183,1065743,201646
184,135248,47864
185,433502,6066
186,841410,312732
187,1453472,214382
188,111336,32268
189,422650,5194
190,450054,314162
191,1481640,240400
192,105126,134792
193,221450,5598
194,600666,274384
195,1594448,266562
196,111458,56240
197,283670,5904
198,364310,164216
199,1705832,312606
200,109753,56124
201,244903,5370
202,293034,143744
203,1673816,366218
204,116294,70768
205,472272,4848
206,489120,127228
207,1765392,344788
208,114736,89564
209,335595,4980
210,536968,115348
211,1854214,253630
212,132899,70152
213,255334,5600
214,311432,102764
215,1803681,192068
216,199386,136662
217,290012,5558
218,488912,104028
219,1550206,197240
220,207674,61458
221,264188,5294
222,501072,96296
223,1834968,185394
224,117582,82964
225,339770,5464
226,498746,90010
227,1851026,194102
228,112508,71574
229,472738,1830
230,457556,112326
231,1855446,198126
232,116166,48248
233,185464,2160
234,703396,152172
235,1858076,282512
236,114776,110820
237,296400,5440
238,627852,64272
239,1926276,356944
240,132670,75530
241,211452,2332
242,522142,58796
243,1894430,201254
244,232678,65372
245,529846,2010
246,638476,57194
247,1914978,197424
248,121272,91454
249,339990,2094
250,582278,58510
251,1898824,196876
252,112530,107258
253,174728,2214
254,758028,36148
255,1908908,333080
256,124416,94510
257,286654,1878
258,597124,24330
259,2085864,225816
260,197968,110792
261,117424,2110
262,546678,20152
263,2029644,199104
264,146178,84846
265,336494,2298
266,478394,8856
267,1761148,213486
268,361386,79076
269,345916,2226
270,512364,5810
271,1503454,320030
272,873364,142592
273,253084,2148
274,799724,6428
275,1574718,169778
276,1102355,102696
277,287740,2406
278,398700,8118
279,1130136,185810
280,1291786,95892
281,325218,2176
282,533680,7302
283,877472,161680
284,1653996,132176
285,280250,2160
286,657812,6888
287,601796,152588
288,1763196,114414
289,143276,2406
290,745654,6492
291,745340,147112
292,1935186,160014
293,168908,1884
294,527972,5140
295,556524,133378
296,1811288,134230
297,149718,1884
298,666936,6390
299,874490,121848
300,1717548,213426
301,170196,1858
302,529744,6300
303,734180,97194
304,2045816,163374
305,91826,1884
306,415384,7054
307,762478,110733
308,2061154,350976
309,120326,1686
310,694806,6122
311,442116,70892
312,2065156,183990
313,133948,2082
314,710730,5846
315,645234,67780
316,2067332,337890
317,146684,1620
318,716018,5780
319,759720,44118
320,1903438,154116
321,114038,1858
322,724234,2292
323,773100,34300
324,2110882,271402
325,213884,8042
326,722806,1482
327,687850,21978
328,2119056,205064
329,113376,10474
330,723334,1434
331,728010,8582
332,1918516,218904
333,583014,60408
334,231980,2580
335,736694,8722
336,1620536,184644
337,901310,2082
338,569856,2094
339,746976,7808
340,1086230,162478
341,1505930,1488
342,408348,2370
343,746906,7220
