Row,RX,TX
1,2296,0
2,372,4398
3,2762,102
4,716,4398
5,2436,102
6,470620,4398
7,479718,136230
8,1402,9950
9,33278,22458
10,297092,403720
11,21116,102
12,1015,10206
13,183912,319598
14,197016,279838
15,275258,343386
16,261498,205210
17,223908,328690
18,110914,204712
19,271311,218998
20,124690,181748
21,284505,190174
22,118370,216982
23,306020,188860
24,156146,214522
25,330660,305720
26,174642,173408
27,369310,288802
28,159084,190168
29,408018,231138
30,128166,184598
31,418416,196692
32,134786,192368
33,452366,192958
34,151720,143562
35,469732,213406
36,104472,163756
37,562288,203910
38,108744,134404
39,529638,169122
40,154498,123894
41,573864,174620
42,110387,146536
43,590520,172346
44,161822,132974
45,607120,218382
46,185012,118178
47,644226,331008
48,125778,115684
49,639642,218186
50,155528,109176
51,659570,295330
52,158443,109982
53,684616,190986
54,182944,117082
55,699148,178326
56,115600,100730
57,731866,166626
58,104738,121778
59,746416,182098
60,131114,94162
61,837028,217978
62,129924,81998
63,786896,186070
64,105146,86192
65,813378,267358
66,133082,84792
67,828366,169554
68,106410,82338
69,848930,196280
70,137874,78056
71,871436,164490
72,118434,76364
73,895580,178812
74,113530,66486
75,916636,175454
76,201560,72414
77,937412,183074
78,110810,69936
79,953392,167670
80,171864,66868
81,974958,201552
82,123668,58050
83,989536,185810
84,126650,55280
85,1003636,249732
86,115140,54018
87,1012208,213370
88,128390,53222
89,1061076,208118
90,111426,49486
91,1045976,174026
92,115942,51986
93,1074720,175316
94,198096,88966
95,1086752,177044
96,108548,51412
97,1110374,165752
98,216676,45028
99,1120126,185598
100,104544,137092
101,1135648,176400
102,103864,37668
103,1168214,290116
104,106132,33906
105,1163018,197068
106,98958,32376
107,1196478,162526
108,107846,37164
109,1189352,182122
110,114008,26606
111,1223296,189140
112,214898,29392
113,1235579,188428
114,123254,22732
115,1249216,182970
116,101620,19136
117,1275394,267950
118,101770,12930
119,1275708,183742
120,147552,11474
121,1009528,187534
122,492448,5340
123,822058,192528
124,785904,8994
125,734748,199040
126,1034138,24054
127,266830,182026
128,1034992,9526
129,225724,165470
130,1241638,1668
131,198950,159048
132,1315352,18284
133,390204,297648
134,1303822,19044
135,288792,166676
136,1349266,26158
137,353718,143990
138,1359156,5034
139,191304,265168
140,1333896,17020
141,259461,158382
142,1354214,32044
143,220218,149170
144,1412420,24380
145,236478,162834
146,1352266,1554
147,235200,152144
148,1353340,41274
149,373714,133296
150,1392252,20522
151,250750,211214
152,1369918,53392
153,262484,134790
154,1287230,37092
155,257606,128286
156,1427034,42676
157,429652,243450
158,1443542,37080
159,289756,120520
160,1496382,116984
161,396278,114832
162,1386930,57978
163,301542,113192
164,1389028,59510
165,362400,112530
166,1445666,52268
167,143958,110196
168,1454012,55978
169,327390,105702
170,1450060,57378
171,350210,164386
172,1427052,50374
173,268552,88910
174,1471444,75944
175,331456,94122
176,1456600,78820
177,276950,80666
178,1515934,72390
179,307196,85258
180,1481384,67846
181,354984,81590
182,1498536,41738
183,289318,73394
184,1506726,57626
185,294370,70098
186,1572646,180920
187,324050,137622
188,1501752,73520
189,303696,60004
190,1502212,82580
191,313684,54520
192,1526144,95876
193,336840,45228
194,1515348,108838
195,332778,44172
196,1695374,102730
197,294300,40206
198,1685606,158888
199,321570,31066
200,1538634,107508
201,346950,25872
202,1711072,46230
203,388056,29180
204,1712206,109268
205,329542,16028
206,1710370,108464
207,310024,16324
208,1611116,112442
209,321528,12450
210,1736594,99198
211,374546,12726
212,1089906,116306
213,483504,6542
214,1139744,63024
215,927504,5948
216,875272,99924
217,1027186,5372
218,822102,102054
219,1221822,5294
220,591950,102460
221,1324586,5222
222,459960,104034
223,1363956,4376
224,444700,35548
225,1590878,9146
226,627570,86352
227,1499702,4694
228,336573,95388
229,1334686,4966
230,421462,94622
231,1365388,4376
232,418664,97600
233,1545814,4244
234,518570,57760
235,1527574,2346
236,441976,92198
237,1599364,4688
238,442320,70284
239,1541122,2106
240,439968,85322
241,1623182,4298
242,439260,107952
243,1548064,1698
244,323268,98706
245,1352156,1884
246,451784,34994
247,1535816,1662
248,375978,61178
249,1556368,1962
250,468584,88558
251,1812872,25446
252,365002,140162
253,1671094,5612
254,157756,73522
255,1646330,1446
256,381532,68466
257,1659035,8926
258,420014,69452
259,1797254,12378
260,334408,61872
261,1890820,43402
262,356220,44114
263,1882199,7636
264,320800,49406
265,1660108,31280
266,372794,49980
267,1735436,29410
268,179648,52934
269,1687388,68414
270,374866,36236
271,1886540,56546
272,370608,32440
273,1684470,50302
274,383736,29536
275,1662776,64594
276,494648,20238
277,1798256,47724
278,361942,40764
279,1688346,38018
280,358982,35184
281,1691330,20182
282,167562,31372
283,1707970,26066
284,188396,31518
285,1705026,18122
286,401412,42740
287,1692576,60220
288,315604,19470
289,1685576,64746
290,359167,16488
291,1556490,1746
292,370746,50090
293,1804734,2016
294,486766,45238
295,1590694,46158
296,407738,24712
297,1701312,1950
298,515078,52438
299,1718150,1416
300,390780,46908
301,1647972,27502
302,406790,55072
303,1724612,4402
304,516720,68112
305,1602640,2169
306,524758,60492
307,1613002,1974
308,486062,80936
309,1382208,2016
310,511768,21640
311,1729336,7608
312,445600,71666
313,1643768,1884
314,437464,20976
315,1594936,1884
316,531364,64154
317,1699706,2226
318,383184,58706
319,1715962,1818
320,379558,24486
321,1769664,10480
322,547020,80030
323,1635694,8862
324,480164,55098
325,1619004,2232
326,413162,22738
327,1660735,1950
328,526330,21574
329,1491164,12858
330,294652,45414
331,1750136,1500
332,604116,84036
333,1811856,5170
334,638978,95648
335,1864006,4678
336,402542,73872
337,1716568,5268
338,440874,63180
339,1906038,5334
340,268944,102170
341,1560928,4948
342,387680,52136
343,1894274,4348
344,416360,69854
345,1630388,4996
346,505944,73742
347,1372430,4876
348,409870,50958
349,1727204,4534
350,559474,107584
351,1622544,5224
352,452764,59866
353,1637596,1884
354,513872,46598
355,1487602,1818
356,514768,42478
357,1397502,2148
358,565090,23714
359,1675124,1908
360,555420,50758
361,1626886,2304
362,519321,73378
363,1651148,2016
364,571102,55238
365,1719880,2160
366,483494,65928
367,1652572,1752
368,580720,20434
369,1614720,1978
370,581284,101778
371,1743072,1830
372,402892,50792
373,1783034,20342
374,544276,72118
375,1923716,1686
376,448952,25220
377,1797230,1446
378,482348,53954
379,1789294,24220
380,189093,45556
381,1784526,26566
382,415092,26396
383,1701364,11076
384,569924,31590
385,1564072,1950
386,304384,36480
387,1656490,1632
388,416550,88426
389,1897030,24804
390,452406,38900
391,1810380,27558
392,493590,41480
393,1732510,31848
394,514444,33560
395,2030914,11680
396,403832,33550
397,1803326,13406
398,406698,23330
399,1845813,2250
400,582514,30928
401,1559138,1896
402,545331,19520
403,1618570,1620
404,584348,23852
405,1757770,1620
406,613336,17574
407,1704768,5030
408,1783242,1620
409,492814,31444
410,1732384,1632
411,1589492,1884
412,816574,30732
413,1630272,5418
414,746896,21382
415,1653002,5992
416,720862,28276
417,1650850,4630
418,465588,20064
419,1571116,2470
420,432302,38316
421,1828571,6454
422,409556,19692
423,1887418,4630
424,442498,20704
425,1830012,1686
426,691212,45498
427,1686644,5158
428,296484,20602
429,1799036,5326
430,305494,41606
431,1936750,4894
432,239744,41554
433,1457366,5350
434,468122,22930
435,836350,3282
436,1799630,7366
437,422478,20520
438,2033640,3848
439,409090,27500
440,1821560,1752
441,320034,22660
442,1808764,8076
443,289396,27788
444,1722078,21554
445,409550,26468
446,1732602,9330
447,425734,23590
448,1818154,1356
449,558088,50384
450,1689724,1482
451,409122,44470
452,1830566,8494
453,407472,39606
454,2050364,18444
455,438392,27964
456,1820266,25564
457,423642,24646
458,1634950,7224
459,598998,23938
460,1826464,1962
461,416290,25916
462,1814092,2088
463,417028,29398
464,1577186,1488
465,587600,42300
466,1765140,2214
467,329396,34830
468,1661876,2700
469,408364,20270
470,561678,10396
471,1481984,2016
472,456254,26250
473,1982028,9060
474,411334,18552
475,1497344,2292
476,521778,20324
477,1814418,4836
478,259290,24314
479,1816496,1962
480,552488,26356
481,1799274,4836
482,413400,17258
483,1714774,5204
484,1922016,1122
485,523962,45878
486,1827696,1884
487,410874,30176
488,1667690,1818
489,288053,19656
490,1686972,1752
491,261617,43192
492,1685968,1356
493,502982,53634
494,1677808,1950
495,562312,21246
496,1753073,4364
497,504400,25726
498,1923606,1686
499,453528,28720
500,437590,25358
501,1757848,29298
502,608551,20634
503,1621154,9486
504,1739882,11396
505,313840,31110
506,1853834,9536
507,356008,28808
508,1693874,1962
509,504986,26296
510,1541986,6510
511,604022,24746
512,1716880,8070
513,1672898,7314
514,716754,29046
515,1891912,5108
516,674606,30854
517,1277376,10252
518,1725878,1554
519,578162,27650
520,1664928,7650
521,581014,37336
522,1679856,2214
523,511308,20288
524,1726966,3722
525,459162,23146
526,1384896,2274
527,1635374,1686
528,423467,28660
529,1864416,2082
530,304902,27502
531,1863210,7634
532,562076,24426
533,420694,29792
534,1644428,2346
535,418526,55784
536,1498460,1950
537,231836,25200
538,1309952,6106
539,514324,26476
540,338258,15852
541,1783298,7074
542,605040,27830
543,1643246,2184
544,617074,27976
545,1710224,1950
546,294494,24694
547,1839438,1422
548,607140,32190
549,1796256,1620
550,605028,23722
551,1434644,1950
552,521134,32978
553,1509012,2022
554,554958,22002
555,1667014,2016
556,427360,57224
557,1836244,4770
558,437096,55250
559,1793602,4976
560,531372,18690
561,1651668,2016
562,581368,35264
563,1650410,2304
564,619410,21142
565,1690018,1950
566,613772,40592
567,1665962,2016
568,518484,21096
569,1895278,2160
570,542728,31534
571,1638472,1884
572,581088,21606
573,1413974,6066
574,368482,25000
575,313920,23054
576,1787006,3252
577,614872,21944
578,1671708,1920
579,610748,44600
580,1901076,2016
581,532818,35604
582,1703138,1776
583,654370,20970
584,1841346,5166
585,450884,24714
586,1546558,7930
587,783008,26072
588,871736,7254
589,1015808,17336
590,1284160,6984
591,1849990,1356
592,580008,51476
593,1704390,1950
594,496906,34840
595,1726974,2052
596,583780,22094
597,1920660,2040
598,234770,45170
599,1844836,1488
