Row,RX,TX
1,3278,4296
2,2496,3096
3,2772,4398
4,2790,4398
5,2548,4398
6,493150,703910
7,510654,757917
8,178698,365576
9,214414,265338
10,343494,546210
11,191116,208020
12,229296,186498
13,199990,187514
14,260832,168736
15,359426,328338
16,263536,407048
17,301352,170638
18,301086,208764
19,299184,183214
20,328014,173784
21,322976,202988
22,338201,194074
23,417288,183938
24,399570,167354
25,381492,250676
26,486736,188008
27,397878,265582
28,467497,184644
29,445281,224522
30,462541,177992
31,450956,172242
32,494542,152852
33,477532,179388
34,490472,176616
35,576794,145842
36,504950,135084
37,550340,132198
38,534420,128358
39,568142,109456
40,535806,118100
41,567084,112292
42,565798,124338
43,630098,122904
44,595714,210474
45,619690,106662
46,614832,180954
47,682658,139888
48,635950,149386
49,676460,127196
50,621952,163190
51,632848,162032
52,674430,108406
53,710018,128388
54,665542,99424
55,669426,99118
56,680504,112806
57,702742,115326
58,769018,115170
59,713604,104110
60,706962,112056
61,735072,105020
62,735492,93036
63,800076,107296
64,748334,99478
65,752866,96474
66,755234,99732
67,772420,92366
68,792602,102040
69,779204,133616
70,789640,94534
71,808408,101298
72,777442,90864
73,822400,79062
74,860954,92664
75,835604,102342
76,813098,95984
77,824572,74020
78,831240,96632
79,872758,84360
80,915920,99072
81,850614,77748
82,848526,84674
83,866242,84264
84,880832,79572
85,889590,96668
86,892468,75674
87,969984,100156
88,911808,107080
89,897440,97830
90,897478,122480
91,907976,84478
92,923506,84342
93,930402,94056
94,938580,81966
95,952564,127646
96,934204,78930
97,1079150,71818
98,937982,68836
99,943982,76084
100,965888,71922
101,975626,73824
102,976770,78736
103,993758,128636
104,970348,57772
105,972102,78906
106,980760,74656
107,993940,90664
108,1002172,86846
109,1011610,57224
110,999934,60922
111,1042446,90844
112,1023960,65852
113,1010340,66316
114,1015510,73538
115,1020482,68184
116,1019732,67530
117,1023402,53930
118,1034890,49494
119,1049972,52180
120,1047782,57680
121,1056236,77672
122,1044302,60622
123,1027230,47902
124,1036326,46472
125,1026726,31984
126,1022082,13612
127,1020032,29638
128,1045876,55400
129,1075430,52598
130,1048814,19890
131,1031476,51236
132,1063714,41640
133,1065347,33390
134,1068354,54276
135,1059532,60628
136,1081940,50216
137,1054678,24126
138,1072380,16822
139,1060802,22980
140,1096314,29604
141,1058136,53012
142,1088104,47540
143,1066238,41802
144,1071604,52558
145,1071766,36268
146,1071732,16686
147,1075180,36254
148,1076686,49498
149,1091502,69174
150,1095990,46198
151,1105314,48854
152,1109566,66398
153,1110430,55624
154,1101218,16890
155,1110962,21618
156,1126644,44098
157,1106626,39540
158,1144894,37130
159,1128544,50772
160,1123352,47520
161,1130768,52588
162,1167832,40064
163,1130528,53672
164,1112066,53318
165,1125492,33796
166,1120958,43988
