Row,RX,TX
1,130360,146128
2,154964,116914
3,270233,118370
4,363558,283306
5,266613,328748
6,280434,391282
7,316107,475108
8,276376,492657
9,316696,480186
10,335092,502502
11,301344,501243
12,255118,464888
13,293524,551255
14,166722,592584
15,106070,198848
16,128052,207140
17,160206,210768
18,95668,286746
19,149136,158154
20,90604,191514
21,70218,135894
22,68856,98828
23,69814,112542
24,68278,104004
25,72646,101078
26,81936,141042
27,74816,121484
28,71286,104470
29,417042,118906
30,118052,107112
31,125090,113792
32,137348,117870
33,173186,124484
34,130974,118298
35,155984,93596
36,145474,108276
37,90934,96450
38,100167,105016
39,71430,100874
40,80072,108954
41,66808,120294
42,69426,33124
43,77414,105826
44,75456,111064
45,77598,114020
46,80724,122316
47,56862,104646
48,57396,87716
49,51498,69292
50,60368,93906
51,64758,90912
52,53256,68254
53,72640,81466
54,780954,91002
55,47484,29198
56,53938,77164
57,59670,71728
58,64308,103398
59,62830,121664
60,61746,117436
61,64450,118658
62,71778,105808
63,75638,146508
64,74060,128122
65,75218,91986
66,83270,92854
67,62364,4048
68,89958,81370
69,99288,80306
70,95274,64744
71,74464,77570
72,58278,72510
73,59232,55010
74,86502,72720
75,67056,102126
76,51258,53514
77,48278,67638
78,43770,49496
79,1064912,60394
80,216,454
81,40466,61912
82,46374,61596
83,37074,60308
84,41586,55832
85,44132,60014
86,60480,60680
87,61568,73294
88,41850,57550
89,36832,50978
90,32886,52006
91,187960,45656
92,150,2764
93,22526,388
94,56636,62944
95,85668,117016
96,93092,120278
97,83316,188710
98,67174,108320
99,71996,103832
100,66970,104420
101,64052,94058
102,66614,92842
103,101208,110312
104,770178,119612
105,8400,388
106,34928,50976
107,36926,49962
108,59726,68994
109,82330,100738
110,62748,113346
111,49592,87198
112,69472,99930
113,97228,132568
114,68504,103624
115,67270,98406
116,1337202,101142
117,534,1876
118,67398,77296
119,78644,94626
120,42826,57628
121,43344,46714
122,73440,49992
123,102794,184736
124,80704,104692
125,86654,89724
126,98274,99520
127,83756,79978
128,91584,101098
129,433624,82460
130,66632,322
131,91156,100414
132,94960,158158
133,57604,95158
134,59024,93370
135,69598,95710
136,55132,85490
137,51464,81972
138,65208,82494
139,65960,253078
140,81634,156152
141,1555902,97698
142,228086,1182
143,78390,2620
144,62480,86754
145,68068,108604
146,68650,104250
147,60150,213132
148,92688,99472
149,74180,157970
150,62600,90714
151,53824,85490
152,62812,107254
153,65798,96654
154,178480,83384
155,4312,1224
156,63976,143350
157,104462,105246
158,71652,119784
159,66008,97718
160,77106,95484
161,67768,99742
162,64706,97396
163,71740,97440
164,94796,138620
165,60400,91928
166,2335210,83598
167,134250,696
168,43778,300
169,61262,82690
170,64180,100176
171,68170,101310
172,72748,102088
173,101478,139612
174,69400,107080
175,63656,98610
176,71400,101602
177,61598,80644
178,61958,89918
179,118420,73470
180,132,924
181,68380,39688
182,92750,156138
183,66556,104238
184,67372,104878
185,68430,109452
186,64076,96404
187,65674,98572
188,77964,92324
189,73380,182468
190,62746,97020
191,2579582,96580
192,272576,792
193,1758,300
194,72194,117916
195,65348,103412
196,71338,104508
197,91110,109764
198,72214,141090
199,66086,100202
200,66512,100476
201,65768,98946
202,65966,94164
203,63422,95524
204,228034,66336
205,325366,432
206,44696,198
207,87822,186982
208,68330,110528
209,69182,100394
210,66746,110408
211,63296,93716
212,65656,95138
213,89454,99494
214,69414,154376
215,59934,92770
216,2879184,88612
217,406406,762
218,282,432
219,92894,53844
220,94978,100422
221,67638,97992
222,71826,101050
223,88872,163820
224,63062,101690
225,51232,93494
226,54570,74192
227,60264,97900
228,75538,94880
229,466794,44276
230,528880,630
231,2340,264
232,71398,81514
233,107734,137222
234,68778,114832
235,66940,102508
236,68264,107582
237,68042,139056
238,64482,100258
239,73506,95452
240,76772,187140
241,3159092,100248
242,198,828
243,323106,366
244,76682,4820
245,70410,198870
246,63956,115364
247,65930,99006
248,66888,99288
249,111424,109544
250,69060,119630
251,63040,96452
252,70786,93958
253,95508,157422
254,93078,39460
255,113026,498
256,946,1818
257,66510,84546
258,73290,106666
259,127666,122752
260,70510,116196
261,122814,103246
262,70428,95122
263,60254,98114
264,63008,96998
265,71286,101074
266,3291732,172874
267,95738,1092
268,348,1686
269,39024,1224
270,69664,210470
271,67336,102786
272,74852,98400
273,67024,105214
274,62512,97168
275,69498,96938
276,88034,171316
277,82794,100950
278,60602,160504
279,32466,32734
280,70566,90990
281,63842,94486
282,60642,94530
283,73416,95948
284,75530,192640
285,64134,91326
286,62330,145322
287,63790,98084
288,61964,90278
289,62802,94630
290,66190,87550
291,1394972,162456
292,65312,784
293,63428,104276
294,62680,168492
295,70120,92704
296,63178,88506
297,59262,88478
298,65424,94572
299,111876,104848
300,60934,98514
301,62790,90392
302,75202,88388
303,60200,87346
304,72458,24922
