packet_count,byte_count,flow_count
87,10732,1
97,12709,1
173,22355,1
189,24140,1
189,24140,1
189,24140,1
205,25925,1
205,25925,1
205,25925,1
221,27710,1
221,27710,1
194740,11480049,22981
194740,11480049,22981
