packet_count,byte_count,flow_count
89,11148,1
98,12795,1
174,22441,1
190,24226,1
190,24226,1
190,24226,1
206,26011,1
206,26011,1
206,26011,1
222,27796,1
222,27796,1
0,0,1
299706,18320076,40491
