Row,RX,TX
1,2789,102
2,314,102
3,64,4398
4,470,0
5,545073,371778
6,488759,766134
7,171724,376386
8,173169,281998
9,302120,464394
10,112786,226662
11,225328,237412
12,120538,197010
13,151366,207810
14,218976,335908
15,233128,195128
16,302084,349698
17,115084,198008
18,134866,173496
19,126456,198542
20,120122,191676
21,358060,223406
22,113485,197876
23,170068,194622
24,116682,296440
25,215104,221688
26,433112,276528
27,132496,260062
28,173394,174132
29,118804,202728
30,151568,190386
31,507424,175520
32,107660,169130
33,187596,138724
34,110210,179286
35,105410,170960
36,595722,288182
37,112062,165644
38,104714,121564
39,106457,265058
40,108400,178646
41,655968,180696
42,123396,203110
43,125526,128758
44,111534,215664
45,151604,219502
46,719278,269526
47,160554,168992
48,107998,142998
49,129670,182178
50,103204,236892
51,808982,243194
52,109086,179588
53,133666,88056
54,109250,289132
55,107874,169468
56,842248,171390
57,110144,278136
58,109078,69400
59,99262,153998
60,144952,199718
61,884622,171492
62,103028,172250
63,183722,87168
64,110350,169734
65,104306,170858
66,980958,218636
67,103276,171820
68,107094,65460
69,168896,175768
70,109036,172186
71,1016334,161438
72,162030,171262
73,107134,51424
74,105338,175142
75,130616,171650
76,1076944,176638
77,107856,183818
78,138786,37868
79,114446,183322
80,110690,197574
81,1145534,173744
82,105588,306676
83,132562,36186
84,105190,196618
85,166480,253732
86,1194670,196304
87,121492,164784
88,177496,28126
89,103992,214894
90,131174,217006
91,1268186,157348
92,104320,230964
93,147392,18820
94,187680,175200
95,128330,257574
96,1311616,164614
97,105602,173970
98,183762,15090
99,105108,176846
100,104686,329314
101,1324930,164708
102,106488,268528
103,133771,5266
104,448744,170100
105,205768,186082
106,1012164,166376
107,107538,172998
108,107768,5890
109,758698,177768
110,107756,158500
111,826898,165094
112,108230,310208
113,133398,4738
114,821088,169240
115,201590,147074
116,607404,159762
117,105544,184744
118,92548,4962
119,1265032,185774
120,112140,128510
121,363968,156280
122,157292,237394
123,116634,4608
124,1209452,176174
125,116734,141818
126,361450,160170
127,106952,187606
128,91910,4230
129,1417672,301464
130,108702,148924
131,351854,146684
132,178476,177136
133,92660,4368
134,1499588,190490
135,106530,130136
136,528066,276062
137,109400,174672
138,118864,4232
139,1558464,177736
140,112454,232552
141,605386,144416
142,109752,175072
143,157778,4648
144,1530202,182112
145,107312,148136
146,630086,125246
147,109348,306046
148,79442,4364
149,1514264,172522
150,141712,153884
151,614614,108748
152,110484,179872
153,81410,2082
154,1633672,272994
155,123478,147150
156,482978,110448
157,109624,177930
158,200598,1686
159,1706671,175646
160,111816,222828
161,528978,91720
162,145794,344186
163,95676,1830
164,1412814,177826
165,205576,242400
166,540914,83502
167,109500,168810
168,120992,1830
169,1644566,244282
170,110618,145248
171,570848,71306
172,161966,316310
173,127234,2298
174,1806278,179224
175,177428,128072
176,574508,83904
177,108132,185680
178,109862,1752
179,1849872,345584
180,107690,173670
181,639556,51874
182,111498,167538
183,140680,2040
184,1823028,183782
185,108056,131912
186,644934,55764
187,123820,374860
188,88904,1974
189,1846624,169670
190,163536,129302
191,546400,54164
192,181318,178582
193,108682,2184
194,1960852,339174
195,110548,181966
196,492136,30076
197,101418,166010
198,180914,1302
199,2022196,189800
200,101604,137632
201,745240,24806
202,157790,329388
203,98266,2688
204,2118852,172186
205,131624,96656
206,529140,18030
207,405716,188318
208,101550,1500
209,1835832,180046
210,161782,264694
211,359440,8128
212,561072,171390
213,110984,1620
214,1525722,292528
215,110266,143628
216,557604,7932
217,1098854,166996
218,162222,1974
219,1114530,173816
220,109832,164334
221,754154,6904
222,1531802,361038
223,89160,1356
224,1020738,142228
225,112564,137564
226,590376,5658
227,1419964,189316
228,89228,2106
229,553968,134090
230,209494,197156
231,325568,6802
232,1760248,180708
233,121930,2016
234,874452,288916
235,112480,209602
236,679494,6150
237,1827830,174298
238,118466,1620
239,817078,131028
240,104320,140382
241,687569,2700
242,1871498,166192
243,135316,1818
244,436474,128444
245,104779,164474
246,367779,6698
247,2013184,161288
248,99546,1752
249,871746,123318
250,106434,198302
251,657563,5544
252,1800282,159968
253,127108,2142
254,397862,202886
255,130392,196572
256,502394,2106
257,2034144,163008
258,135070,9046
259,696474,71908
260,124424,362358
261,683216,2010
262,1804184,163612
263,103744,2016
264,887934,60494
265,187482,267040
266,372670,2028
267,2171022,173320
268,103640,26314
269,716440,50938
270,204652,160328
271,707864,4678
272,2068496,179462
273,86846,1950
274,722704,39270
275,112228,181104
276,444484,2514
277,2069858,203304
278,110644,1790
279,804986,31998
280,110284,177240
281,465262,2214
282,2077012,364248
283,143940,28528
284,822208,27160
285,109198,174558
286,733070,2010
287,2116014,265856
288,193524,10562
289,889468,18348
290,116402,182076
291,426028,2142
292,2015676,181992
293,164542,11700
294,224654,8058
295,493450,181700
296,434534,2214
297,1559116,165584
298,109520,39350
299,889606,8590
300,982472,249518
301,695482,2148
302,1294036,152060
303,151662,8006
304,557522,7684
305,1496166,420448
306,794014,1686
307,958000,142854
308,114812,27336
309,793534,7072
310,1810678,248514
311,534602,1680
312,747752,166392
313,127186,6274
314,720556,5776
315,1884212,192000
316,258244,2436
317,666038,142264
318,110366,80100
319,750118,2820
