Row,RX,TX
0,0,0
1,60,3702
2,613146,1480
3,417096,620566
4,496892,709108
5,345938,759198
6,157344,322454
7,166548,274264
8,340912,347210
9,197968,488122
10,123642,223630
11,115496,195144
12,140000,242310
13,124316,200080
14,120700,209482
15,211412,243248
16,209814,351362
17,150360,240320
18,115294,398902
19,143284,307804
20,118216,239124
21,115822,192494
22,140304,202172
23,127750,213400
24,122264,201776
25,118028,171556
26,139242,245442
27,143234,173788
28,117800,201462
29,136220,177220
30,118120,296206
31,137034,248604
32,115738,305898
33,138408,280924
34,113228,309500
35,116384,298724
36,121374,257550
37,126076,214740
38,115600,195416
39,112740,166774
40,146928,190884
41,110218,185556
42,105774,162532
43,104486,133130
44,105720,179614
45,124074,192796
46,106238,179184
47,139240,120090
48,108270,173008
49,164158,139522
50,108018,185086
51,112044,120974
52,108956,173268
53,166142,127940
54,105728,199662
55,113968,109846
56,109870,169212
57,133706,96054
58,122654,285930
59,154878,108966
60,126836,183284
61,129182,105632
62,168160,217098
63,116247,176098
64,110894,229508
65,107466,138006
66,110226,242594
67,142666,188360
68,108932,241246
69,132726,161372
70,106048,206388
71,124200,139682
72,108358,321208
73,107774,113748
74,108472,200814
75,108098,99604
76,164316,197322
77,103115,103764
78,243723,185580
79,135682,80330
80,267568,170428
81,120226,137784
82,361814,177894
83,133080,88838
84,294522,173868
85,204874,81200
86,502198,191912
87,130192,73292
88,535090,171718
89,111738,70210
90,441892,281630
91,125520,62024
92,376154,185672
93,107904,62750
94,572462,163234
95,130526,93890
96,549972,166760
97,133726,69474
98,546048,173540
99,143958,58914
100,550094,228870
101,120960,38640
102,661976,175196
103,119804,48096
104,918096,147770
105,167898,6842
106,619715,155884
107,143317,46542
108,869691,164252
109,98913,53216
110,764340,285738
111,106396,46746
112,845488,169204
113,107466,58290
114,1097520,187224
115,210576,64958
116,1024476,206570
117,110678,73974
118,1077248,181212
119,136976,71152
120,1027870,272572
121,100264,79678
122,1056810,206250
123,120504,7946
124,850770,175166
125,106304,87532
126,1178680,310104
127,143771,3260
128,1129974,178820
129,118370,50538
130,1171280,181690
131,104208,43712
132,1200898,289170
133,104056,33560
134,1209850,176330
135,200340,21238
136,1238754,166210
137,165990,44232
138,1187406,181436
139,108448,31816
140,1121820,187392
141,139500,17136
142,1314586,174884
143,228914,51456
144,1141994,164682
145,104150,20946
146,1275644,157794
147,100444,27216
148,1363484,180786
149,110250,36398
150,1275312,156786
151,142186,37532
152,1288666,158936
153,100848,28782
154,1217728,236118
155,100762,1650
156,1169774,151308
157,137104,1662
158,1202140,164682
159,108100,23598
160,1358154,257556
161,106124,29002
162,1318180,170858
163,129670,44062
164,1336612,171288
165,112058,13982
166,1286564,294364
167,107046,13856
168,1348614,183670
169,136374,37768
170,1360344,171718
171,181192,3460
172,1207385,196080
173,107968,1608
174,1297126,187328
175,132452,15130
176,1375068,149920
177,169254,4018
178,1311600,191678
179,104882,1386
180,1378248,183782
181,106036,29226
182,1391082,161672
183,169472,3786
184,1389790,178364
185,84638,3774
186,1398666,180786
187,130194,18980
188,1339536,168790
189,158952,7610
190,1287212,236930
191,133396,14888
192,1471084,188682
193,106932,1254
194,1422544,171718
195,210740,15988
