Row,RX,TX
0,2833,4296
1,2616,4296
2,2856,4296
3,2496,4296
4,4134,4296
5,3567,4296
6,3223,4296
7,1149,4296
8,4961,4296
9,3501,4296
10,23022,89046
11,21830,10244
12,189109,363008
13,199269,310970
14,301373,316408
15,278078,367382
16,243405,271352
17,204520,380102
18,233200,245820
19,209954,221966
20,228103,210552
21,266338,195160
22,290862,222588
23,280570,194246
24,274774,198982
25,312247,194612
26,316210,214326
27,297780,201854
28,330118,228296
29,339878,293442
30,341119,298862
31,360248,304894
32,369440,272174
33,398994,279692
34,392540,307670
35,361711,221886
36,378911,222198
37,403677,168278
38,419242,191780
39,401132,172922
40,412813,179168
41,436338,162254
42,458780,189226
43,466438,167544
44,456394,177784
45,461917,161966
46,501218,167896
47,471616,187884
48,500240,151598
49,508736,148774
50,535545,148452
51,517914,256300
52,527552,136768
53,543474,133554
54,547712,132696
55,574243,123234
56,632401,136362
57,602822,185006
58,570556,129860
59,619286,132578
60,606399,122166
61,597540,125180
62,589608,142526
63,602042,291032
64,604066,190720
65,595195,175846
66,606150,154336
67,611964,196034
68,620446,192640
69,689544,163666
70,632761,205544
71,640290,149968
72,653796,142050
73,639306,131482
74,653070,130690
75,670505,116928
76,712216,149980
77,679626,116798
78,679914,104002
79,695626,100128
80,690703,113286
81,706383,116590
82,712090,102648
83,749692,140818
84,700052,111792
85,714175,109330
86,728428,109978
87,713062,108234
88,729124,106092
89,764012,100114
90,793145,137790
91,760920,106848
92,741834,107276
93,745506,101718
94,781304,106988
95,775833,105082
96,783688,94532
97,778439,108192
98,786110,203142
99,778156,97762
100,796735,97602
101,802224,104126
102,811278,104106
103,801382,92604
104,810784,98406
105,829893,102432
106,837146,152964
107,824800,101212
108,831138,100828
109,838074,97506
110,847349,98396
111,846447,109744
112,857362,100626
113,864820,100462
114,921280,96210
115,870626,144484
116,872246,116700
117,864644,100838
118,880682,114272
119,868042,100354
120,896713,88424
121,888318,81666
122,895024,81690
123,904610,65150
124,976954,81788
125,937401,119780
126,943477,77208
127,930890,92056
128,926112,93718
129,921244,76802
130,930254,103052
131,915234,75432
132,928274,81032
133,925174,82320
134,930714,90728
135,981117,131712
136,940668,96994
137,945694,93964
138,1095130,75424
139,937504,96880
140,950914,73642
141,956251,75474
142,954618,73128
143,971846,83570
144,979732,85412
145,984743,76066
146,1036198,121314
147,974766,154360
148,972376,76650
149,973800,65970
150,978331,79530
151,982503,69914
152,984598,68572
153,985520,45648
154,981610,58940
155,982075,80224
156,1002832,63472
157,1004485,63770
158,1026981,73954
159,1021468,65772
160,1052577,118118
161,1007442,69572
162,1014018,60664
163,1003224,60652
164,1010514,54626
165,1011907,71910
166,1011152,63876
167,1018244,70366
168,1027414,65820
169,1026024,59912
170,1042521,71536
171,1052651,63774
172,1049662,58488
173,1087632,62130
174,1059780,107694
175,1057299,75708
176,1049900,63102
177,1050394,60708
178,1048556,51292
179,1059342,71456
180,1066809,68670
181,1057448,58306
182,1062268,59496
183,1058022,51820
184,1074942,65394
185,1073889,49964
186,1072191,48108
187,1079092,31830
188,1084600,50386
189,1086818,56732
190,1109459,62128
191,1089018,71438
192,1071548,43960
193,1087948,58470
194,1081746,44070
195,1079723,56222
196,1087758,52356
197,1080756,56846
198,1099656,52704
199,1103924,50412
200,1102477,62310
201,1110451,56860
202,1102760,52888
203,1104868,15780
204,1106870,46300
205,1107383,44546
206,1116336,38464
207,1106974,44112
208,1122368,49526
209,1122680,49398
210,1159091,50702
211,1141874,73740
212,1131461,61420
213,1118124,44062
214,1127596,53174
215,1133722,52486
216,1119650,44638
217,1118481,35306
218,1134772,55262
219,1121518,50432
220,1140994,62902
221,1127608,60714
222,1126501,46978
223,1128240,51906
224,1139904,44898
225,1152920,40460
226,1150506,43962
227,1154433,52466
228,1180710,44318
229,1159264,50230
230,1170288,33076
231,1163182,55204
232,1187785,37884
233,1142478,75528
234,1177858,42238
235,1153764,37508
236,1182316,47010
237,1146271,68394
238,1148296,18488
239,1153154,31062
240,1146636,51050
241,1154130,37260
242,1156779,38132
243,1156046,28492
244,1156344,33510
245,1166344,124362
246,1154468,43942
247,1162969,41542
248,1164270,32424
249,1160438,42696
250,1157738,33982
251,1149306,32046
252,1170361,37292
253,1173888,120652
254,1174952,33812
255,1168458,67390
256,1171602,38260
257,1166699,31658
258,1175320,38354
259,1182272,31416
260,1177474,38758
261,1240942,40272
262,1178707,41038
263,1184006,44586
264,1184204,30228
265,1190552,22546
266,1174044,28696
267,1192019,41476
268,1179428,29808
269,1199958,24828
270,1124498,31776
271,1104672,46074
272,1191511,39826
273,1187522,34300
274,1099026,36038
275,1193001,18614
276,1276097,35142
277,747763,57980
278,1231676,91336
279,1213064,46292
280,1211964,21758
281,1182210,27890
282,1178115,44002
283,1155492,28842
284,1269772,14194
285,1135146,41352
286,1223158,30492
287,1260303,29884
288,1120230,20464
289,1091025,15596
290,1189352,28808
291,1190280,22864
292,1282354,13608
293,1314612,16006
294,118382,35290
295,1194906,38076
296,1191286,33788
297,1188889,21642
298,1148908,30782
299,1207948,18368
300,1294030,17406
301,1167134,18122
302,1179237,45356
303,1192978,24236
304,1139310,22480
305,1284034,37582
306,1107142,44908
307,1182225,34558
308,999104,30292
309,936952,21048
310,1140948,36378
311,990392,42232
312,1036201,34160
313,1075905,29250
314,1439415,40022
315,1110930,38416
316,1135067,27628
317,1290892,24266
318,1298015,33480
319,1210627,22678
320,1211861,29700
321,1638579,32868
322,1500617,28822
323,1112670,41566
324,1255970,30050
325,1190392,21690
326,1483072,22612
327,1268595,24334
328,1158354,44842
329,1156620,37556
330,1262232,36912
331,1107818,38404
332,1165477,31930
333,1318488,27298
334,1513926,27354
335,1163973,32552
336,1309349,37874
337,1372612,41434
338,1389706,49794
339,1580809,37774
340,1255576,53324
341,665680,15972
342,1410916,27752
343,697322,17372
344,892297,15216
345,1395072,13778
346,1233718,11354
347,1205620,20630
348,1236316,21004
349,1230213,18432
350,1241750,17608
351,1232572,18712
352,1228999,21404
353,1232658,30354
354,1229095,27940
355,1236248,22954
356,1234374,23310
357,1229114,20378
358,1233820,23480
359,1237603,19862
360,1230590,19746
361,1234446,29068
362,1225114,24462
363,1225284,21690
364,1235054,23156
365,1229054,31428
366,1232104,28100
367,1231781,25248
368,1238420,26148
369,1242219,23826
370,1229004,19586
371,1226670,21742
372,1222876,21242
373,1225200,19966
374,1225921,18576
375,1234594,26066
376,1235980,39254
377,1234190,39410
378,1229460,21304
379,1235773,27962
380,1235254,34278
381,1243810,45058
382,1243741,16906
383,1212740,17282
384,1234845,17178
385,1216746,15488
386,1241856,16724
387,1243468,25934
388,1245108,20120
389,1204687,17106
390,1228952,25834
391,1235588,22932
392,1212974,20188
393,1240862,25358
394,1226215,19416
395,1355459,12950
396,1352961,21586
397,1360333,16606
398,1251854,28462
399,1147359,24300
400,1148564,33088
401,1128400,36212
402,1245776,29838
403,1363242,31800
404,1232321,17348
405,1113460,18502
406,1303626,15828
407,1144736,16962
408,1265270,17692
409,1254579,18188
410,1231330,17234
411,1248772,16400
412,1231537,20376
413,1275830,19828
414,1249884,20942
415,1178643,21148
416,1324744,27394
417,1380492,28484
418,1107084,16058
419,1239512,17114
420,1193162,16428
421,1456911,32056
422,1443656,30152
423,1328184,24442
424,1260586,10090
425,1256128,19570
426,1251351,16032
427,1256481,21182
428,1252630,15094
429,1259694,21378
430,1254852,22240
431,1253219,24958
432,1264790,21070
433,1269372,22946
434,1262694,15874
435,1257584,29988
436,1260713,19452
437,1268484,16614
438,1269384,14438
439,1262935,22306
440,1257658,30434
441,1265569,28912
442,1266695,19538
443,1288812,18074
444,1260630,18594
445,1226228,34174
446,1199009,27366
447,1315328,17152
448,1242798,15990
449,1165920,45798
450,1266180,27998
451,1275565,18766
452,1157872,15890
453,1343354,19076
454,1269266,25764
455,1260946,15304
456,1287972,23740
457,1275248,8630
458,1273170,27964
459,1277726,27062
460,1270096,23636
461,1268337,24320
462,1268824,35840
463,1282342,20504
464,1288846,16840
465,1275320,23808
466,1252579,21564
467,1387700,20956
468,1381320,17476
469,1238522,18062
470,1269521,37444
471,1272251,17512
472,1161227,20082
473,1269596,21304
474,1746086,31428
475,1297034,16314
476,1279209,16432
477,554164,16794
478,1264586,6328
479,1271338,19124
480,1267524,17726
481,1276553,34840
482,1264384,29550
483,1275674,19508
484,1267832,15960
485,1264600,31754
486,1263355,31868
487,1266701,16242
488,1264730,16872
489,1166158,29342
490,1066476,40598
491,240646,31214
492,1268602,18044
493,1268505,25670
494,1387552,24548
495,1384554,26438
496,1194654,14576
497,1290626,29626
498,1844921,31086
499,1362416,24586
500,912287,16398
501,1013258,15258
502,1266163,9348
503,1270751,22264
504,1264596,16842
505,1282036,30872
506,1267078,74668
507,1276686,21640
508,1271017,16678
509,1280212,21912
510,1271594,52496
511,1331374,26948
512,1202467,25240
513,1161433,27136
514,1392397,33422
515,1283702,37090
516,1392734,25776
517,1262123,23646
518,1255249,35154
519,1264558,16608
520,1211930,16788
521,1282560,32176
522,179474,65962
523,1273629,22962
524,1269904,10854
525,1265340,24810
526,1277646,18658
527,1276346,16818
528,1268089,16990
529,1274766,37048
530,1269214,75284
531,1272410,18120
532,1265669,22448
533,1266975,28536
534,1266746,26146
535,1277260,18452
536,1270593,17766
537,1270562,16400
538,1379615,38068
539,1230590,48820
540,1270752,28598
541,1255974,30230
542,1336620,34604
543,1331953,15416
544,1287638,15230
545,1266840,19506
546,1328242,50988
547,1268383,13492
548,1276275,17818
549,1258892,21772
550,1263136,27836
551,1158250,18994
552,1279654,16990
553,1261271,40852
554,1161030,84062
555,1138580,19044
556,1231136,16992
557,1273892,35608
558,1180225,18598
559,771052,23090
560,1538732,29506
561,1465338,33992
562,1534701,14228
563,1274579,21564
564,1273000,19876
565,1275517,16932
566,1277002,25916
567,1279338,20822
568,1284222,18160
569,1242266,20046
570,1203059,24004
571,1209778,24268
572,1399134,19122
573,1397897,20424
574,1284721,17810
575,1159659,26052
576,1283506,16358
577,1267691,16414
578,1277026,29764
579,888890,33286
580,1294269,1896
581,1279296,20152
582,1232958,21390
583,1332952,24372
584,1279444,29710
585,1280545,17842
586,1273360,29244
587,1293078,31380
588,1275132,29408
589,277934,26164
590,1278095,17014
591,1282542,21078
592,1317899,22024
593,1167474,18780
594,1369322,20728
595,1853773,34014
596,1054558,28386
597,1279900,11086
598,1287652,21228
599,1280394,17430
