Row,RX,TX
0,874,0
1,0,0
2,512260,4296
3,422928,629724
4,491678,684156
5,309572,773594
6,162404,318612
7,166816,280006
8,314482,338728
9,240968,542094
10,124018,207568
11,120226,198338
12,133028,235632
13,128596,204140
14,238480,201744
15,198950,258542
16,214606,345450
17,146702,288068
18,111732,355794
19,300614,324898
20,112640,218194
21,117334,214010
22,136346,175018
23,123670,241868
24,350034,209496
25,120930,199460
26,132422,240656
27,144450,161020
28,116484,216828
29,416494,221890
30,115976,275702
31,133276,312112
32,115469,247214
33,136976,336246
34,447370,333684
35,118404,284798
36,122262,267430
37,137484,219422
38,119468,204180
39,496476,206346
40,174592,196890
41,107618,196672
42,144594,118462
43,107312,177894
44,548614,177648
45,109846,284800
46,112740,171978
47,103554,121842
48,119258,178584
49,578092,272726
50,111784,178546
51,105202,183954
52,135088,112128
53,114292,286620
54,618616,177894
55,110484,191418
56,112638,177852
57,174000,118354
58,118842,176174
59,697232,188094
60,149184,172148
61,193296,186546
62,120730,119500
63,122832,217582
64,707482,222638
65,107934,236566
66,120990,320510
67,131588,162118
68,109818,241118
69,760840,220380
70,138810,207182
71,106730,295340
72,102492,112490
73,107828,218694
74,803336,185034
75,164168,202600
76,106560,182572
77,110050,81406
78,107026,174520
79,847024,176114
80,111364,279920
81,109664,174854
82,104142,78502
83,109310,172148
84,887038,290020
85,105156,171866
86,107022,186284
87,104100,68918
88,167054,179770
89,922564,190278
90,113530,157560
91,104568,181920
92,105490,66774
93,109676,297280
94,966148,179708
95,109112,178694
96,106232,173008
97,138158,66088
98,108356,227670
99,1009780,173008
100,108454,165576
101,110368,171194
102,140740,82318
103,104566,185150
104,1053164,190716
105,112130,152772
106,162654,170168
107,97426,81668
108,108602,169696
109,1099426,182626
110,105174,160808
111,171382,197218
112,94019,68692
113,113350,170858
114,1146012,177884
115,116084,167074
116,118382,291384
117,94066,54160
118,110772,175642
119,1191046,204388
120,122176,158288
121,109848,337158
122,146052,49690
123,107968,197876
124,1232554,201460
125,106058,177114
