Row,RX,TX
1,120,0
2,2500,102
3,272,0
4,2586,102
5,844,0
6,599718,102
7,440960,642710
8,285916,762908
9,160798,276714
10,378090,370750
11,114918,311570
12,192266,199142
13,119198,224614
14,229634,214610
15,204868,363994
16,346992,245080
17,119998,392514
18,279860,221182
19,113994,204264
20,338224,233712
21,121284,197148
22,373260,206490
23,119156,198148
24,422694,196010
25,121568,303750
26,491062,216912
27,131970,292264
28,555742,195860
29,111430,243670
30,488518,222540
31,111346,206404
32,515196,275828
33,112490,176416
34,545820,175480
35,108334,277470
36,549304,186570
37,112930,176434
38,601726,181432
39,104320,180888
40,644784,179750
41,107302,161834
42,636306,165766
43,176882,171976
44,664222,207312
45,130358,176974
46,794706,179540
47,112908,241096
48,750196,171512
49,146336,223478
50,756374,175370
51,102672,234562
52,846336,175254
53,104890,200126
54,782456,172772
55,134408,181486
56,815288,155916
57,104010,187754
58,845738,160940
59,103822,171272
60,863066,185466
61,106760,167524
62,553046,182838
63,107768,160082
64,615520,162594
65,107814,248924
66,643646,157466
67,102388,164142
68,538780,281042
69,109094,181006
70,518388,170894
71,108776,286200
72,608128,171430
73,106330,150882
74,398018,283784
75,111378,165214
76,370820,164710
77,111510,292766
78,564842,167486
79,105662,176798
80,468798,271948
81,109060,180606
82,359576,165792
83,127454,261514
84,441852,158704
85,107474,190560
86,294726,259558
87,106670,197364
88,231530,155042
89,175736,196548
90,286176,155716
91,107000,193752
92,176126,178174
93,102284,208098
94,316526,180536
95,169164,167122
96,249536,201044
97,108314,171548
98,199784,150746
99,133348,247542
100,223552,147554
101,104386,165370
102,171296,138288
103,103560,185932
104,321484,157810
105,100246,171820
106,224518,167112
107,104340,167522
108,195120,131026
109,171748,178206
110,203494,140276
111,104576,186090
112,235596,133458
113,105968,172392
114,240148,141442
115,104280,173110
116,361866,156960
117,111876,170530
118,257798,129138
119,174532,195056
120,276896,133116
121,100552,174126
122,293004,120366
123,106130,193872
124,291650,133398
125,100126,172952
126,315793,187132
127,108200,152002
128,448598,108766
129,104388,171390
130,332996,129964
131,110152,170164
132,483736,114178
133,173706,189074
134,358598,109398
135,105102,186204
136,555412,112154
137,104934,232670
138,376772,115186
139,108560,171662
140,405475,225594
141,95054,159430
142,403362,105350
143,109194,165214
144,339760,103238
145,111482,178218
146,420870,99330
147,173746,183866
148,444614,97300
149,109048,174712
150,419974,101514
151,110334,302964
152,466680,89804
153,110248,176432
154,680052,83846
155,121180,298568
156,484392,89676
157,103360,171390
158,407542,92474
159,104738,177722
160,511520,90068
161,107390,170960
162,616584,181968
163,101074,219414
164,491602,77828
165,178318,173110
166,547038,78712
167,108538,175074
168,411838,72034
169,119432,334224
170,522572,62526
171,104434,163924
172,519998,103874
173,100924,168106
174,512394,62586
175,210532,196796
176,447896,57594
177,105154,263644
178,440304,54944
179,117210,308450
180,410130,50970
181,109262,165712
182,668872,61960
183,108115,187924
184,494750,43474
185,198614,204948
186,491418,46216
187,111714,165214
188,472315,102768
189,109540,296228
190,324046,36286
191,115394,164082
192,488774,43950
193,176726,194256
194,468688,32506
195,194182,177072
196,630838,29274
197,105928,188784
198,441651,24628
199,165448,306120
200,456492,25912
201,108644,164784
202,408506,24312
203,115684,286384
204,357414,20208
205,108215,171820
206,360743,19060
207,110232,196818
208,540510,17894
209,199740,181592
210,538462,12906
211,108112,189060
212,747604,7750
213,174070,284892
214,571106,7112
215,108656,182220
216,354818,8284
217,127546,360038
218,453434,8382
219,107558,167300
220,596316,7686
221,106746,254302
222,390840,7714
223,110166,173884
224,684008,6008
225,108508,198282
226,569326,7662
227,205996,183926
228,725074,7188
229,107086,198126
230,716804,6702
231,210426,198556
232,653638,5366
233,104404,168224
234,663588,5156
235,133564,158126
236,263822,7068
237,102974,168484
238,431892,6822
239,99476,164902
240,720512,6084
241,105918,211568
242,383096,7004
243,95426,158296
244,184804,2724
245,164936,269360
246,388524,6282
247,100308,174674
248,443056,6456
249,159896,171938
250,431530,6774
251,99316,166692
252,407812,6836
253,99334,170040
254,423700,6860
255,105232,212208
256,423394,6506
257,104322,165604
258,589500,6344
259,112300,366940
260,710840,5194
261,100154,161462
262,722458,2292
263,191376,171682
264,665548,2658
265,98782,169320
266,446342,6176
267,102084,164310
268,458944,6254
269,109748,298758
270,735536,7646
271,102440,161306
272,747246,2610
273,218036,178836
274,451390,6902
275,94978,181460
276,473042,6346
277,104608,163612
278,487298,6412
279,107204,276830
280,596244,2082
281,100624,166622
282,726166,5896
283,217318,249306
284,774704,1656
285,97320,166184
286,502556,6412
287,143888,164472
288,349881,2622
289,105428,174498
290,673762,2028
291,110192,162228
292,791482,2148
293,103144,376968
294,442558,2566
295,100186,164276
296,790980,2028
297,518834,242884
298,441940,2358
299,408050,159312
300,505936,2688
301,642508,166622
302,461306,3012
303,768750,185698
304,473782,2580
305,792890,160016
306,528252,2478
307,1423804,263424
308,686230,2214
309,1419076,158852
310,468394,2412
311,1561714,171334
312,294676,2412
313,1724637,289418
314,291078,2518
315,1697772,159156
316,493666,2436
317,1831430,273698
318,687454,1896
319,1755198,166178
320,370096,2562
321,1805956,170484
322,494270,2214
323,1799630,315704
324,505606,2676
325,1859829,159586
326,875914,2142
327,1578222,177858
328,645670,2016
329,1929874,175690
330,272088,2556
331,1909536,166452
332,786430,2082
333,2075870,294718
334,529622,2424
335,2005278,166348
336,667550,1554
337,2131206,160876
338,694188,2286
339,1898980,346742
340,291102,2898
341,2114030,158662
342,395630,2160
343,1926608,166192
344,695046,1974
345,2143056,246242
346,691692,1818
347,2186648,159156
348,532712,2082
349,1988146,173814
350,830784,1896
351,2270214,234364
352,571502,2412
353,2238602,172368
354,900428,1092
355,1776840,172636
356,658297,2010
357,1923524,392728
358,627204,2304
359,2334252,164472
360,574392,2010
361,2358160,166622
362,561868,2934
363,1957790,384190
364,609784,1752
365,2030352,163012
366,313875,2358
367,2366814,168946
368,144320,2412
369,2165362,424596
370,515544,1962
371,2307292,171664
372,485086,1698
373,2365096,171726
374,575644,2016
375,2376404,408508
376,763100,1944
377,2372614,165518
378,326828,2292
379,2087500,164820
380,525206,1752
381,2043938,194376
382,231494,1884
383,1874492,164016
384,450416,2220
385,1713570,154998
386,368280,1818
387,1549354,167566
388,592142,1224
389,638240,207262
390,455818,2214
391,970912,140464
392,206950,1620
393,1086482,149694
394,90556,2412
395,755348,321494
396,426166,2088
397,829844,131940
398,197956,2028
399,755190,129896
400,351188,1710
401,860380,259358
402,198138,2544
403,658142,117308
404,199418,2082
405,599276,95752
406,354658,1818
407,480152,111464
408,591268,2340
409,699326,262990
410,508282,1620
411,571072,94740
412,612524,1884
413,371556,92474
414,421784,2214
415,432930,79574
416,506188,1368
417,821814,82806
418,235375,1950
419,730622,198294
420,168856,1680
421,506962,66914
422,325774,1686
423,468374,63626
424,225202,2808
425,721454,64514
426,262166,1818
427,512693,123736
428,691078,1416
429,571484,55650
430,174712,2160
431,466852,45946
432,288876,2028
433,623924,42266
434,181128,1764
435,762394,35620
436,68832,1884
437,306082,36102
438,262594,1884
439,611774,22230
440,179614,2292
441,916786,17652
442,55084,2412
443,874562,5160
444,255568,1632
445,792704,4950
446,123546,1884
447,857207,5010
448,57434,2028
449,653292,4944
450,210446,2346
451,686976,4170
452,129624,13116
453,1045571,6402
454,180576,2502
455,677846,3336
456,237512,1620
457,695358,2880
458,121982,6658
459,611662,2832
460,112042,46044
461,603062,6750
462,104780,1356
463,667122,2874
464,187988,2082
465,786028,7394
466,164692,12898
467,790064,7598
468,118672,48736
469,544458,6900
470,116114,33464
471,995226,7934
472,166252,2358
473,865108,5454
474,149634,92920
475,763796,7630
476,119282,22672
477,497176,8236
478,219934,200042
479,1031892,2544
480,138820,50606
481,486860,6762
482,111090,70662
483,992192,7498
484,279034,108296
485,932028,7726
486,140238,91744
487,763264,2478
488,114572,86912
489,772354,8292
490,213016,70366
491,367298,8224
492,171300,97964
493,525042,6402
494,118814,11306
495,625378,2436
496,115008,4192
497,734172,8268
498,185692,59140
499,737984,8732
500,188422,70284
501,936904,7294
502,152668,40000
503,697082,7910
504,120540,137906
505,804884,7642
506,489056,37408
507,219102,2742
508,517914,92348
509,592314,8130
510,651790,118492
511,708800,8064
512,1071044,3914
513,512176,8694
514,1585844,49676
515,512794,7932
516,1539164,103100
517,708748,2160
518,1874230,8866
519,751572,8882
520,1782428,180060
521,926934,7898
522,1869552,1842
523,476602,8468
524,1697062,109460
525,885960,2346
526,1992512,40148
527,780890,8498
528,2114664,247358
529,725242,2670
530,2227014,99060
531,1022650,2754
532,2111352,162206
533,415510,8934
534,2047168,167902
535,721990,8560
536,2258244,150584
537,231662,2820
538,2386148,281620
539,509326,2358
540,2257566,279396
541,796256,2178
542,2327940,178118
543,362164,2646
544,2385552,202720
545,695980,2094
546,2004876,176134
547,603146,2214
548,2507902,253610
549,747078,2412
550,2514930,261292
551,370546,2880
552,2428366,225906
553,367986,2280
554,2449062,192890
555,686526,2226
556,2477638,208694
557,787696,2160
558,1935930,328676
559,780278,1746
560,2040460,282154
561,1097924,11968
562,1843608,232368
563,975260,1554
564,1972512,196714
565,1061912,1896
566,869550,374870
567,908831,2052
568,1018616,275856
569,520800,1818
570,1214840,106520
571,879904,2238
572,668770,171342
573,835794,2226
574,1027264,282868
575,880490,1764
576,609698,265622
577,641612,2490
578,545188,126578
579,871310,2358
580,887168,134578
581,641326,1884
582,804514,269902
583,1036802,1764
584,740590,204706
585,879016,1884
586,595202,114952
587,723806,2082
588,821218,102638
589,722870,1752
590,737738,115816
591,878266,1830
592,792356,179454
593,1009526,2010
594,490506,154692
595,1101127,1698
596,772988,68844
597,555220,1554
598,525764,68888
599,797702,1290
