Row,RX,TX
1,1580,330
2,332,102
3,703,196
4,266,102
5,332604,0
6,397444,601414
7,337078,758176
8,160032,268896
9,277672,333556
10,118830,378256
11,106012,185500
12,125582,193338
13,124556,213868
14,219052,306856
15,176674,319994
16,105224,389544
17,121644,232678
18,112756,186080
19,133482,212582
20,124760,192966
21,135108,193396
22,115934,202356
23,142162,187574
24,119186,292620
25,140650,273734
26,190044,212292
27,118596,250314
28,162390,192456
29,111600,240564
30,111856,195212
31,105410,273354
32,107430,176862
33,111630,173642
34,103978,181248
35,108624,177122
36,163728,188196
37,108356,177200
38,104108,176706
39,109056,267682
40,106976,182862
41,133024,192702
42,104626,190220
43,123890,173634
44,163894,193774
45,135316,177566
46,112820,271718
47,166702,219940
48,102682,216822
49,135472,175058
50,108884,322964
51,136696,169930
52,107376,192316
53,116302,204176
54,106970,166954
55,108826,175272
56,106478,181556
57,105346,175416
58,132418,251636
59,109130,171820
60,105594,172250
61,105390,200282
62,108340,184484
63,167724,176754
64,131564,125860
65,101828,175846
66,139400,235758
67,109354,162634
68,105388,171130
69,105864,221210
70,106354,187616
71,162228,164094
72,105688,170100
73,105644,171922
74,173326,107716
75,110673,173540
76,108193,175912
77,109195,290972
78,105740,186634
79,149146,169670
80,105282,181228
81,117780,176832
82,123620,284176
83,135886,171390
84,106157,129676
85,132064,289294
86,110472,197508
87,110296,180238
88,134786,179598
89,106550,203358
90,182466,174986
91,107298,187226
92,113148,173110
93,108452,368614
94,109228,79990
95,107110,171820
96,108880,296878
97,107204,178582
98,224012,173570
99,104648,176542
100,108384,176590
101,174380,178994
102,106874,173970
103,107648,172186
104,176598,144990
105,108968,172250
106,104498,170960
107,106688,263772
108,104140,186634
109,178552,169240
110,104954,167614
111,105556,161860
112,107122,299106
113,108598,179046
114,105362,43988
115,126862,262374
116,110662,165644
117,108828,169990
118,106364,184166
119,103342,176002
120,176692,177164
121,113848,145698
122,98054,169088
123,105994,284970
124,131940,37040
125,105148,157318
126,148216,215360
127,112330,167206
128,103272,168508
129,105452,191740
130,103494,182334
131,176278,173696
132,106302,164354
133,105976,151878
134,142692,2400
135,105124,175416
136,101408,168096
137,131474,250064
138,109924,168508
139,107724,170700
140,109356,258660
141,103802,165214
142,135364,340140
143,106896,166904
144,135074,1092
145,119448,280090
146,104226,171390
147,137864,340336
148,108400,163064
149,172864,258052
150,106482,177274
151,188528,171546
152,106442,181402
153,105278,187092
154,140774,1092
155,104872,177878
156,150476,170360
157,107728,198694
158,131736,167104
159,99540,229120
160,105178,134920
161,131782,329516
162,96496,168810
163,194006,162024
164,154436,2568
165,109427,170516
166,199946,175142
167,105396,179342
168,120574,169304
169,188994,196266
170,107302,156306
171,122364,321408
172,105772,170100
