Row,RX,TX
1,124,0
2,4382,102
3,336,0
4,576,126
5,124,102
6,598990,518
7,434124,615152
8,194088,689208
9,199682,276468
10,324818,400518
11,123548,261822
12,137256,192966
13,111478,202230
14,122176,179408
15,209392,374544
16,357980,261622
17,132058,332820
18,114652,197902
19,129534,192672
20,106212,216078
21,96318,132418
22,133902,169708
23,353264,175460
24,142256,163532
25,141208,307272
26,191774,296302
27,147590,248096
28,159507,199146
29,154532,200436
30,492528,244504
31,116978,180486
32,135866,192536
33,129034,168764
34,107066,173696
35,165512,151056
36,105946,174694
37,584234,170930
38,128224,257804
39,108090,172420
40,107148,152178
41,109260,250632
42,124254,136116
43,115466,171820
44,693463,185862
45,108124,216442
46,137248,166806
47,107786,246266
48,170698,183624
49,84986,176236
50,124168,197738
51,763236,198936
52,125518,163256
53,106982,295166
54,150642,137948
55,104374,182476
56,65894,208720
57,101556,160774
58,862490,151078
59,125582,235298
60,105868,161076
61,100674,115354
62,138572,240630
63,75726,111146
64,105794,170100
65,959238,293174
66,114476,167624
67,109042,168986
68,111568,221190
69,109512,179012
70,71200,113106
71,104626,258878
72,1032222,189565
73,119942,164784
74,104782,200912
75,105852,99818
76,106848,166414
77,106790,124992
78,108680,158428
79,1148052,164648
80,116252,279910
81,97536,187284
82,142736,90674
83,111662,297754
84,148314,100382
85,106114,200166
86,1157640,287968
87,110888,210950
88,123840,165644
89,178242,130742
90,108410,197740
91,77962,96480
92,166362,187978
93,1321800,165904
94,107722,258760
95,165396,164354
96,105696,82624
97,107888,184484
98,196412,93338
99,200534,185344
100,1276626,170842
101,104424,168968
102,100018,266002
103,103546,73374
104,97668,154372
105,260420,163268
106,106292,171820
107,1331302,168790
108,176846,170530
109,105288,166132
110,124152,44830
111,100600,149852
112,270990,87068
113,108484,173540
114,1356764,162634
115,177146,182042
116,110900,174276
117,134320,68472
118,177176,182028
119,282258,80990
120,104090,178322
121,1475162,181918
122,123502,178308
123,105783,180072
124,138008,52840
125,102374,188738
126,280070,81364
127,106354,170100
128,1513574,210850
129,108096,176256
130,103410,166806
131,179978,48424
132,108222,163924
133,99253,69476
134,131332,166674
135,1566198,171820
136,108420,176432
137,113892,166598
138,111474,56776
139,97182,173760
140,174080,56800
141,180368,170686
142,1552988,166376
143,117534,184914
144,148062,162204
145,131146,22702
146,108622,174126
147,334984,57304
148,165162,213234
149,1666862,166074
150,111296,175142
151,177330,169670
152,132568,13674
153,108522,184816
154,350458,74308
155,122926,289012
156,1939582,171756
157,103248,178984
158,202666,180458
159,198551,2028
160,109540,167760
161,232666,47254
162,108354,284874
163,1790162,159038
164,114262,163966
165,106672,239472
166,102120,1488
167,157194,165150
168,281190,50238
169,107616,172660
170,1861550,172070
171,140816,389240
172,101950,165626
173,134848,17020
174,133442,313862
175,299244,33350
176,105498,163494
177,1908584,301844
178,107624,155030
179,106110,169840
180,174904,1554
181,140742,220886
182,231674,21274
183,184932,166830
184,1963192,191830
185,105162,154104
186,196302,162948
187,146948,1620
188,100516,180952
189,494882,13848
190,158894,294632
191,1753658,170514
192,117280,209064
193,465780,292318
194,103660,1620
195,104782,158450
196,690262,6528
197,150342,301306
198,1403350,162518
199,106256,121690
200,1013636,295996
201,209810,1722
202,104268,162634
203,386278,8626
204,107812,228944
205,685657,148560
206,119401,89642
207,1544164,261666
208,119482,1884
209,107386,162792
210,558942,5052
211,101442,232012
212,703185,136602
213,132354,151740
214,1720878,221062
215,94074,2016
216,105826,167776
217,733902,6530
218,107332,181576
219,586431,127774
220,146291,135790
221,1832484,195098
222,70370,1884
223,110886,158608
224,648392,5940
225,102850,169078
226,733034,104298
227,120410,80472
228,1864052,325570
229,88734,2082
230,99750,158980
231,678836,5640
232,198690,161032
233,813538,102150
234,98568,144152
235,1935194,152980
236,107620,1962
237,102662,240282
238,664908,5098
239,106488,149970
240,530114,83432
241,198658,190520
242,1737720,165214
243,83740,2046
244,103016,158726
245,422488,6580
246,104070,184914
247,415836,75768
248,94850,117086
249,1748250,231528
250,127648,2028
251,94002,162648
252,718110,2514
253,99856,160960
254,712956,83322
255,102392,136396
256,2083632,153848
257,97420,2016
258,208846,185612
259,735762,5726
260,99182,160380
261,791476,54392
262,127644,146944
263,2112874,296360
264,78470,1902
265,101960,143342
266,482930,6470
267,227722,166348
268,761944,48560
269,99898,143112
270,2120346,149970
271,92486,1896
272,108678,237478
273,457962,6490
274,98678,152120
275,812614,37496
276,211052,223604
277,2140326,160070
278,90585,1782
279,122118,156146
280,461245,6608
281,99746,168398
282,800890,27172
283,98720,142562
284,2156469,386740
285,130960,2082
286,95338,151690
287,696766,1896
288,156186,159280
289,785502,20114
290,96168,161444
291,2310590,160276
292,83476,1752
293,116180,385568
294,790182,6408
295,98082,156052
296,849950,5330
297,144904,132092
298,1536284,162254
299,185188,1752
300,800678,150660
301,866812,2478
302,247992,173414
303,688594,8892
304,98346,152752
305,863002,135266
306,136136,2436
307,1517380,327246
308,878750,1714
309,99654,145658
310,500904,8054
311,198930,153592
312,825900,141148
313,179150,1818
314,1527538,149970
315,813632,1884
316,231380,222312
317,709358,5432
318,108790,227478
319,919784,102470
320,97468,1752
321,1934492,399340
322,678724,2214
323,98764,152644
324,339206,5798
325,117054,111626
326,670826,133182
327,126086,1422
328,2058452,204204
329,548652,2358
330,212156,165228
331,470034,7822
332,96162,181450
333,628370,83702
334,153914,2154
335,2144520,269944
336,534148,2016
337,91152,167624
338,590884,2280
339,103150,200140
340,817266,127614
341,219180,1950
342,2267694,164198
343,658352,2346
344,131044,157866
345,821032,7962
346,222562,266040
347,820258,57874
348,128296,4684
349,1962690,155286
350,209270,2148
351,147138,349060
352,432370,7330
353,98122,164322
354,1002087,46466
355,133594,2292
356,1973976,413968
357,560746,1830
358,94734,165058
359,694978,6820
360,102924,168342
361,596360,69726
362,202723,1764
363,2419460,157006
364,585798,1950
365,101528,159586
366,748582,7562
367,192212,340160
368,621696,18492
369,110818,1290
370,2424076,153410
371,566406,1500
372,199962,280320
373,740534,7038
374,92211,168654
375,860630,7846
376,127038,26128
377,1781984,371220
378,615406,1962
379,835306,167062
380,673254,7170
381,99896,169474
382,861296,7422
383,252188,12752
384,958030,147420
385,295428,2148
386,1561838,156576
387,716744,7650
388,169206,192078
389,777594,6492
390,105460,38286
391,735378,123368
392,420112,1896
393,1708318,161304
394,930302,2028
395,104974,388172
396,897026,8252
397,128998,81156
398,554316,100686
399,556704,1818
400,2022566,421844
401,772312,2226
402,99124,164702
403,507438,6600
404,123152,20998
405,512984,174604
406,420290,2016
407,2115948,171234
408,826474,2412
409,102336,164472
410,698920,5742
411,138950,27906
412,349192,80198
413,496098,1686
414,2318540,157866
415,688241,2676
416,106768,174948
417,657264,2346
418,254196,67232
419,563240,75224
420,261356,1950
421,2208438,161462
422,684746,2544
423,152780,395018
424,783758,8154
425,115148,128780
426,750524,56446
427,296970,1950
428,2342520,313144
429,880994,2028
430,95356,167520
431,1048406,7782
432,145036,107196
433,321628,43298
434,354112,2148
435,2121300,150444
436,917230,2016
437,150344,168602
438,686096,8324
439,176904,180814
440,595058,15578
441,459284,2094
442,2631254,157006
443,891240,1794
444,158075,387454
445,950670,7532
446,99778,107414
447,1111376,8780
448,37192,2142
449,2269372,412740
450,977734,1818
451,639270,201362
452,507686,8242
453,112916,11982
454,810460,4410
455,415494,1818
456,1456036,189336
457,294026,2292
458,1619114,155444
459,679238,8432
460,164860,103680
461,750697,6778
462,101288,2754
463,985732,130534
464,539228,2148
465,1877730,172866
466,1028506,8210
467,181332,291552
468,689546,5118
469,110640,3066
470,934400,107744
471,660076,2028
472,2070658,230518
473,739502,9216
474,125518,257808
475,489188,2808
476,117762,2874
477,1120746,228718
478,771714,1950
479,2143256,253146
480,697796,2424
481,107910,110684
482,752988,6560
483,275082,3000
484,801068,91088
485,425624,2148
486,2239772,179716
487,779862,2226
488,227326,277212
489,725620,8472
490,97006,2556
491,678036,55202
492,655716,2016
493,2261224,452942
494,801530,1968
495,108812,203790
496,627742,8660
497,60934,2856
498,649856,73800
499,810622,1554
500,2442634,247116
501,476588,2712
502,137542,127272
503,833796,9060
504,160270,2214
505,840438,35344
506,544694,2424
507,2556098,179746
508,921282,1830
509,220870,183686
510,764928,8482
511,195916,1776
512,390062,4992
513,1056158,1884
514,2238078,166232
515,592018,2346
516,1245372,271218
517,759078,9796
518,158584,2578
519,1180052,8292
520,861236,2214
521,1330316,183456
522,280192,2016
523,1925542,125742
524,979754,10348
525,128048,1488
526,583156,3420
527,334358,2716
528,832396,149324
529,730612,2604
530,2093004,396778
531,684486,2544
532,168466,1290
533,874788,2952
534,322808,2544
535,1026088,143762
536,858292,2148
537,2287524,344794
538,519482,10400
539,155350,95478
540,599594,2742
541,518610,2808
542,990572,197616
543,537102,2778
544,2269358,414462
545,687222,10004
546,131254,89578
547,994930,2374
548,639650,1896
549,804330,162758
550,938516,1620
551,2341398,342722
552,661000,9612
553,141869,13018
554,882660,8652
555,316952,2208
556,626188,87536
557,888052,1998
558,2431094,452282
559,816514,10520
560,141059,21112
561,952920,9312
562,406418,2424
563,485086,40032
564,908232,2082
565,2465032,447248
566,453912,2082
567,149760,28368
568,882716,9640
569,290236,2478
570,557244,18094
571,748072,2544
572,2641634,398874
573,495178,2442
574,473660,6040
575,767950,9592
576,448630,2028
577,844494,4896
578,612994,2082
579,1922198,254344
580,824256,2544
581,1464020,215708
582,687732,2412
583,338842,2148
584,754214,4254
585,817954,2238
586,1070078,160344
587,643650,2160
588,2062484,84190
589,1035610,2172
590,284758,2544
591,876476,3006
592,554688,2274
593,1112978,113628
594,919066,2082
595,2179578,116326
596,761998,10616
597,196098,2280
598,1091916,7292
599,936070,16916
