Row,RX,TX
1,5918,8090
2,4812,8498
3,5184,8694
4,4872,8192
5,567834,9286
6,425056,597508
7,346100,738768
8,221918,290646
9,479834,372970
10,230784,317030
11,269460,200482
12,353536,228912
13,372588,193274
14,484998,253476
15,430404,308460
16,454286,190088
17,427378,184600
18,503926,193722
19,488806,170828
20,535680,163374
21,552268,187858
22,537538,150798
23,577916,167628
24,725084,158700
25,633664,280784
26,707290,149744
27,672754,236180
28,737486,146460
29,705050,153688
30,706956,134356
31,748712,128326
32,787634,120438
33,795434,132472
34,782852,133348
35,789324,130930
36,851010,119138
37,855378,112996
38,856062,121708
39,859824,120890
40,892010,116000
41,932774,96316
42,942498,169034
43,947382,97382
44,917092,137358
45,941536,125160
46,994108,79066
47,959502,144820
48,1013392,68468
49,998396,127000
50,1062154,82738
51,1007636,127178
52,1013348,72990
53,1002478,98718
54,1025140,94280
55,1033650,93292
56,1050652,77570
57,1049532,75988
58,1077528,85660
59,1076462,126164
60,1078584,72342
61,1075994,71040
62,1076044,76924
63,1090228,87196
64,1106478,73720
65,1122221,65308
66,1126344,63732
67,1135960,61738
68,1151174,71198
69,1149174,86244
70,1146686,75662
71,1154762,62496
72,1151036,57064
73,1149720,67734
74,1162582,62642
75,1167442,57070
76,1180272,57330
77,1187534,52568
78,1192169,60554
79,1198970,52316
80,1228850,45158
81,1221626,55846
82,1248816,47592
83,1243330,65152
84,1239920,70774
85,1216852,85212
86,1244804,49570
87,1215908,69466
88,1228952,45058
89,1238558,64704
90,1223516,56538
91,1212516,70474
92,1227220,48992
93,1226050,52518
94,1231269,86778
95,1207126,34206
96,1224818,49490
97,1221494,44476
98,1243424,53764
99,1312798,58172
100,1243092,32636
101,1259688,37936
102,1245702,39690
103,1259270,36066
104,1261910,44862
105,1271266,50008
106,1267582,38722
107,1276742,41116
108,1285486,30286
109,1276212,36208
110,1296774,33440
111,1290052,29666
112,1291948,36766
113,1279750,38446
114,1274340,50562
115,1297780,25624
116,1310998,40858
117,1288768,47894
118,1286298,31132
119,1287324,21158
120,1300629,26614
121,1289300,31110
122,1283086,29372
123,1283250,36450
124,1288792,30104
125,1115470,24438
126,1289178,30536
127,1295582,36348
128,1292496,39586
129,1294488,31666
130,1291490,34550
131,1292022,28230
132,1296176,35128
133,1290972,37480
134,1293208,26622
135,1291638,33630
136,1284540,38024
137,1285150,36372
138,1287082,30364
139,1289168,19732
140,1285086,39186
141,1294043,27122
142,1295992,38738
143,1288716,41196
144,1294460,30212
145,1294886,26332
146,1299196,26382
147,1303829,36070
148,1310752,47634
149,1313004,36326
150,1306038,22328
151,1304240,26284
152,1303376,30042
153,1317058,31072
154,1311496,37878
155,1310592,35804
156,1313204,26950
157,1320746,33472
158,1075176,36276
159,1356794,54842
160,1318258,34830
161,1317850,18682
162,1316446,30206
163,1318938,30216
164,696918,28730
165,1325198,34550
166,1326252,39490
167,1326202,29972
168,1334168,27506
169,1295942,29730
170,1349658,117728
171,1331442,34278
172,1306522,41556
173,954274,24674
174,1346576,39004
175,936675,65706
176,1343670,43000
177,1339654,37880
178,1341096,27456
179,1013872,27410
180,1348372,29046
181,1339348,86988
182,1342424,41528
183,1318578,22054
184,1340164,15030
185,1345232,33700
186,1384888,48120
187,1347096,20970
188,1344596,36374
189,1352516,26950
190,829438,31382
191,1365144,30270
192,680368,76576
193,1349242,36664
194,1354810,15458
195,1348878,31682
196,1354992,33240
197,1391342,29626
198,1068652,32218
199,1355670,30628
200,680620,26444
201,1356268,30478
202,1364978,29868
203,1352232,31594
204,1355488,30350
205,1362396,25636
206,1349975,36202
207,1364605,30414
208,1359688,53698
209,1363938,25560
210,1361476,29762
211,1360830,33974
212,1357544,27196
213,1361766,19154
214,1364950,26000
215,1364582,24736
216,1359800,31034
217,1367368,24082
218,1370454,29182
219,1368652,35948
220,1363186,34350
221,1361860,31250
222,939720,24922
223,1363968,31570
224,1319808,26434
225,1363614,25210
226,1366692,29088
227,1364794,33792
228,1380052,31396
229,1363850,26308
230,1370098,30424
231,1361578,29584
232,1365830,29932
233,1364488,20934
234,1363060,37048
235,1364290,33512
236,1360298,31984
237,1364714,34772
238,1366920,31338
239,1359700,29942
