Row,RX,TX
385,198706,288128
1,236102,285678
386,263030,283556
2,104268,314414
387,131383,236466
3,197168,233708
388,215292,238550
4,236626,346468
389,207876,349372
5,94590,204166
390,89304,177196
6,78070,121824
391,80502,114246
7,78688,117246
392,80246,117452
8,82364,147074
393,84372,143694
9,79578,135426
394,81360,136372
10,109140,115948
395,139743,112480
11,221360,220150
396,146116,229444
12,100416,227780
397,92818,216174
13,78218,265890
398,80302,265886
14,86986,262568
399,84954,268338
15,78272,146766
400,78452,139572
16,76334,129896
401,74528,129846
17,71238,106490
402,70872,105512
18,75576,123992
403,75102,133398
19,76566,109704
404,75580,107634
20,76240,113938
405,81368,110136
21,203568,138106
406,67862,132564
22,75378,132996
407,73176,130020
23,75636,106690
408,78386,107112
24,76108,133256
409,72822,138134
25,93112,111566
410,69756,148942
26,120310,110308
411,103889,170452
27,171062,199190
412,98266,250180
28,149602,134570
413,90658,175134
29,141746,88336
414,105428,114634
30,139681,103498
415,114555,128514
31,284986,121410
416,94486,109048
32,102738,104622
417,100808,103292
33,89150,102294
418,94194,97384
34,84078,139418
419,79794,145666
35,85966,123134
420,82606,131746
36,72760,116730
421,73840,110488
37,76234,113018
422,72644,119564
38,83946,100916
423,87772,104046
39,75358,124830
424,79196,117812
40,77670,127004
425,77766,125742
41,321388,129116
426,99152,126426
42,87748,129832
427,87800,129608
43,84278,138798
428,88084,130968
44,86798,125836
429,85698,126702
45,87972,134826
430,86532,141404
46,87360,143594
431,87306,148300
47,83798,124336
432,84922,123222
48,79512,137420
433,83114,133438
49,73794,128442
434,74040,122340
50,77766,107470
435,77236,108110
51,392396,116808
436,56054,117450
52,76494,138188
437,85294,125948
53,69420,120852
438,79790,104596
54,74482,133144
439,78290,121166
55,73474,127800
440,74246,120258
56,75416,131306
441,77132,130684
57,87566,179224
442,85622,188274
58,92638,182896
443,94687,176660
59,73100,185266
444,71344,176732
60,78448,159058
445,80896,162582
61,432870,177296
446,58864,164238
62,78624,192106
447,74620,195158
63,74304,158862
448,79576,161444
64,94860,205554
449,88982,216486
65,65078,139742
450,63662,133016
66,64844,122586
451,66050,119586
67,73194,143396
452,70466,148710
68,62474,115022
453,60134,112576
69,66806,110576
454,64640,120706
70,83440,107730
455,83052,121392
71,526768,160394
456,61952,162270
72,81754,139074
457,76604,129308
73,73622,116832
458,72294,113078
74,78204,114448
459,76380,122788
75,76082,111486
460,76074,111838
76,72696,113208
461,75902,109636
77,115138,123644
462,107836,149064
78,76078,131296
463,75806,120916
79,64232,99796
464,64250,94072
80,71212,99418
465,67530,103906
81,562048,95668
466,43330,89782
82,67910,109312
467,68332,103974
83,70206,99206
468,70978,100064
84,95366,122016
469,87526,141752
85,66414,106262
470,66086,101218
86,69906,108720
471,72068,112362
87,76946,120782
472,71534,123304
88,65670,96356
473,66700,95410
89,65834,94844
474,64502,95450
90,78678,100372
475,87008,102010
91,611624,163170
476,25860,137466
92,66632,110834
477,65530,109364
93,64768,101256
478,67186,100288
94,76858,98646
479,74120,100968
95,65266,112084
480,66146,110722
96,67686,101318
481,62390,101632
97,87132,102444
482,92164,119540
98,73680,169068
483,70376,153614
99,59022,100436
484,62268,94070
100,76426,107164
485,77558,111096
101,658638,109486
486,16452,93922
102,64612,91548
487,67160,97782
103,67822,105584
488,67588,104344
104,70516,99546
489,78810,101110
105,87490,190852
490,75084,203456
106,64694,108628
491,65918,105106
107,64538,100310
492,68268,97874
108,72916,125588
493,68548,128426
109,69036,106212
494,72990,106784
110,60432,119806
495,64190,109192
111,730146,111126
496,41810,99930
112,97616,166280
497,88632,195152
113,76426,133976
498,75692,129808
114,77762,127868
499,80236,127936
115,74366,141212
500,73120,141540
116,81970,118964
501,74780,130774
117,94108,110714
502,82810,135388
118,115524,177682
503,87428,218474
119,86254,120650
504,71034,140954
120,89426,113340
505,78900,132888
121,778170,117708
506,35030,92668
122,112345,130760
507,97061,124078
123,86896,125844
508,82222,129756
124,87852,98854
509,90112,97186
125,130474,127478
510,121634,156068
126,71146,116162
511,69144,109150
127,74244,97092
512,77114,92932
128,66026,95684
513,63200,95054
129,52588,78430
514,49088,76492
130,49082,61488
515,49470,66172
131,833146,76824
516,9340,65312
132,75594,90460
517,74972,111414
133,193334,110366
518,228696,115146
134,71896,241590
519,66050,152332
135,76632,94892
520,75450,102112
136,72890,101502
521,74556,97032
137,62264,101782
522,62050,98484
138,75704,94868
523,76934,100736
139,71264,110292
524,71268,107922
140,92814,139218
525,83066,158330
141,891148,105234
526,74970,83904
142,64400,221744
527,64406,177488
143,68538,102930
528,73518,101834
144,71846,111430
529,72340,110356
145,65374,107004
530,65000,102566
146,75636,102844
531,77396,108864
147,110608,112756
532,97032,138752
148,68808,133032
533,66200,124992
149,65952,100172
534,66800,97718
150,69918,134134
535,71128,129366
151,942572,96564
536,5656,75504
152,67836,75270
537,66674,95780
153,67814,95998
538,65992,101952
154,94988,103936
539,108060,106292
155,73118,166058
540,69152,145084
156,67558,101040
541,64684,101756
157,69670,99710
542,72800,100200
158,69178,97636
543,70098,94810
159,73230,110004
544,73308,113496
160,62390,108752
545,63210,103094
161,1015848,139578
546,2772,120456
162,80782,113410
547,75420,155508
163,64648,97812
548,65954,94752
164,66868,100032
549,72006,97126
165,68764,125096
550,65264,124042
166,66344,96406
551,66410,95666
167,64510,100846
552,66528,100338
168,121762,107778
553,122732,117562
169,68530,122602
554,66990,110126
170,62972,100554
555,62840,97718
171,1052930,102830
556,5590,77488
172,70344,83520
557,70070,109202
173,69826,100720
558,77864,92852
174,67972,118256
559,68746,113772
175,104940,109158
560,113476,109558
176,75508,156596
561,70690,142516
177,65804,100610
562,63908,99874
178,82454,102612
563,83262,107350
179,67696,103108
564,71800,97718
180,68526,116432
565,66182,113540
181,918054,97884
566,4626,70618
182,109082,86462
567,119714,112088
183,66200,138116
568,65826,116684
184,69250,103484
569,68102,102930
185,74256,104096
570,73552,105780
186,67234,93688
571,69336,91292
187,70890,117464
572,67042,119904
188,69694,101406
573,69996,104828
189,82970,171052
574,75450,188378
190,76310,114932
575,76264,116598
191,925996,104788
576,23160,70966
192,73992,88126
577,71606,110886
193,61950,96166
578,62402,97348
194,73598,102554
579,75514,103044
195,71530,114668
580,71664,112780
196,79820,169846
581,74238,182080
197,69220,100954
582,67558,100566
198,67478,99326
583,63998,99208
199,78246,105236
584,74614,117868
200,67704,99800
585,67836,96452
201,724504,94418
586,37260,66122
202,82008,75580
587,85102,111500
203,95208,198412
588,83442,218152
204,75530,114098
589,76386,115950
205,80694,116678
590,81128,115874
206,71294,118298
591,69114,118922
207,73340,114392
592,72126,114588
208,78536,108722
593,82562,110584
209,86998,193464
594,81768,204992
210,65504,107562
595,61184,102616
211,811772,85338
596,51296,61308
212,67836,28888
597,69424,59096
213,63956,109182
598,61394,105758
214,67242,90616
599,65798,96712
215,78102,101074
216,122354,106690
217,64690,135246
218,64102,96816
219,71154,92976
220,64538,96804
221,519256,90966
222,67672,58686
223,91102,98330
224,77520,183882
225,60188,97596
226,50754,108362
227,69202,104612
228,48200,68158
229,68940,69038
230,66550,94132
231,376088,88720
232,111104,63000
233,67290,103552
234,61268,115616
235,72846,93508
236,64400,98480
237,67572,89962
238,83222,99354
239,77354,192742
240,66424,180302
241,202176,82808
242,73974,39424
243,77978,115752
244,71126,107366
245,72724,110248
246,133770,122906
247,73268,116214
248,74744,211376
249,73282,115682
250,94937,104966
251,127310,106060
252,72002,44826
253,124778,113046
254,84428,143172
255,62952,117858
256,126684,129328
257,67674,110050
258,73466,94968
259,80982,117968
260,70272,175564
261,145314,60830
262,60624,24432
263,65666,71284
264,136012,99970
265,64670,89724
266,66014,97278
267,69156,98052
268,78746,186986
269,65494,101056
270,65718,92602
271,163416,69366
272,150684,40106
273,66472,111866
274,75588,116544
275,133806,112490
276,69402,111696
277,63202,103598
278,77298,103252
279,64748,98462
280,54832,89086
281,186944,118220
282,67662,1766
283,110136,96356
284,68004,149224
285,59910,90718
286,64586,94200
287,65120,103468
288,63476,91792
289,67506,164592
290,106212,99796
291,116198,96036
292,96998,45608
293,81284,91216
294,73344,99296
295,62880,105238
296,54074,83350
297,70876,125270
298,130416,100206
299,65226,100484
300,65926,96746
301,248248,54090
302,74034,6614
303,64064,102836
304,66262,102456
305,69674,100112
306,127642,103480
307,66838,121148
308,63626,94500
309,78834,108708
310,66794,101012
311,273640,49784
312,62822,1786
313,75406,102946
314,80948,209874
315,67804,104766
316,71666,94394
